,Cities,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
373,Mareeba,75,AU,1537583400,65,-16.99,145.42,78.8,23.04
374,Abu Dhabi,0,AE,1537581600,66,24.47,54.37,86.0,2.24
375,Brae,92,GB,1537582800,76,60.4,-1.35,50.0,28.86
376,West Wendover,1,US,1537581360,4,40.74,-114.07,71.96,5.82
377,Nikki,76,BJ,1537584596,98,9.94,3.21,73.12,5.06
378,Kerman,0,IR,1537581600,33,30.29,57.06,57.2,6.93
379,Shache,24,CN,1537584597,42,38.42,77.24,62.14,5.5
380,Altay,92,CN,1537584597,31,47.83,88.13,49.0,2.71
381,Victoria,75,BN,1537583400,83,5.28,115.24,86.0,2.24
382,Bathsheba,20,BB,1537581600,78,13.22,-59.52,80.6,11.41
383,Jining,0,CN,1537584598,59,35.41,116.58,71.5,9.19
384,Dano,12,BF,1537584599,96,11.14,-3.06,71.68,2.71
385,Atbasar,92,KZ,1537584599,99,51.81,68.36,51.7,10.65
386,Chumikan,0,RU,1537584599,67,54.72,135.31,54.58,2.59
387,Ca Mau,68,VN,1537584600,95,9.18,105.15,82.57,5.28
388,Aklavik,75,CA,1537581600,39,68.22,-135.01,48.2,4.7
389,Moose Factory,90,CA,1537583340,93,51.26,-80.61,41.0,18.34
390,Lilongwe,0,MW,1537584600,64,-13.97,33.79,56.65,9.19
391,San Carlos de Bariloche,90,AR,1537581600,93,-41.13,-71.31,42.8,9.17
392,Pyaozerskiy,88,RU,1537584601,91,65.83,31.17,57.01,10.42
393,Gondanglegi,0,ID,1537584602,55,-7.75,112.01,87.07,1.36
394,Beisfjord,56,NO,1537582800,70,68.38,17.6,48.2,23.04
395,Palmer,20,AU,1537583400,63,-34.85,139.16,64.4,8.05
396,Panguna,92,PG,1537584602,98,-6.32,155.48,73.57,3.38
397,Nefteyugansk,40,RU,1537581600,100,61.09,72.61,46.4,8.95
398,Levelland,90,US,1537581180,83,33.59,-102.38,62.96,18.34
399,Changtu,0,CN,1537584603,62,42.78,124.11,60.61,9.75
400,Rovaniemi,75,FI,1537582800,100,66.5,25.72,55.4,6.93
401,Salta,0,AR,1537581600,59,-24.79,-65.41,71.6,2.15
402,Goianesia,88,BR,1537584604,95,-15.32,-49.12,65.56,5.39
403,Moundsville,75,US,1537583580,93,39.92,-80.74,69.98,9.17
404,Maues,36,BR,1537584605,73,-3.38,-57.72,81.22,3.15
405,Samarai,76,PG,1537584605,100,-10.62,150.67,78.07,21.39
406,Mokhsogollokh,20,RU,1537584605,53,61.4,128.95,49.18,7.74
407,Nachingwea,8,TZ,1537584606,95,-10.37,38.76,59.53,2.26
408,Vetapalem,36,IN,1537584606,98,15.78,80.32,82.39,13.22
409,Ordu,36,TR,1537584606,92,40.98,37.88,54.04,3.38
410,Hualmay,12,PE,1537584606,96,-11.1,-77.61,54.04,1.7
411,Benjamin Constant,75,BR,1537581600,100,-4.38,-70.03,75.2,2.82
412,Shakawe,0,BW,1537584607,40,-18.36,21.84,62.32,6.96
413,Salekhard,24,RU,1537584607,90,66.54,66.62,43.24,3.38
414,Maragogi,80,BR,1537584608,86,-9.01,-35.22,74.92,4.94
415,Kanganpur,92,IN,1537584608,84,29.52,75.05,76.09,14.79
416,Vao,24,EE,1537584608,58,59.1,26.19,66.46,14.79
417,Basco,1,US,1537583700,67,40.33,-91.2,62.06,10.29
418,Kruisfontein,36,ZA,1537584609,95,-34.0,24.73,57.91,16.35
419,Saint-Pierre,0,FR,1537583400,87,48.95,4.24,48.2,5.82
420,Baghdad,0,IQ,1537581600,32,33.3,44.38,82.4,5.82
421,Belaya Gora,92,RU,1537584610,100,68.54,146.19,37.75,3.94
422,Fontem,76,CM,1537584610,96,5.49,9.85,60.79,0.69
423,Ketchikan,1,US,1537581360,64,55.34,-131.65,59.0,16.11
424,Havoysund,75,NO,1537582800,93,71.0,24.66,46.4,8.05
425,Hofn,88,IS,1537584611,100,64.25,-15.21,44.32,19.48
426,Shenjiamen,92,CN,1537584611,100,29.96,122.3,75.37,9.42
427,Sassandra,92,CI,1537584612,98,4.95,-6.09,76.63,10.76
428,Amahai,44,ID,1537584612,100,-3.31,129.0,76.0,3.94
429,Inirida,48,CO,1537584612,91,3.87,-67.92,75.82,1.92
430,Henties Bay,32,NA,1537584613,100,-22.12,14.28,54.04,4.61
431,Awjilah,0,LY,1537584613,69,29.14,21.3,64.93,2.82
432,Muisne,64,EC,1537584613,92,0.61,-80.02,72.31,5.17
433,Passo de Camaragibe,0,BR,1537581600,88,-9.24,-35.49,69.8,4.7
434,Port Keats,0,AU,1537584614,42,-14.25,129.55,90.13,15.23
435,Vestmanna,88,FO,1537582800,87,62.16,-7.17,46.4,24.16
436,Acari,0,BR,1537584615,88,-6.44,-36.64,67.36,10.09
437,Usogorsk,0,RU,1537584615,96,63.43,48.71,41.89,5.17
438,Jumla,24,NP,1537584615,90,29.28,82.18,44.59,2.04
439,Camabatela,0,AO,1537584615,93,-8.19,15.37,59.62,2.37
440,Saldanha,0,PT,1537584616,84,41.42,-6.55,51.34,2.59
441,Orbetello,20,IT,1537581300,93,42.44,11.21,62.6,3.36
442,Takoradi,76,GH,1537584616,99,4.89,-1.75,77.17,9.64
443,Hoi An,40,VN,1537583400,70,15.88,108.33,86.0,3.36
444,Kudahuvadhoo,64,MV,1537584617,100,2.67,72.89,78.7,3.04
445,Anadyr,75,RU,1537581600,81,64.73,177.51,50.0,4.47
446,Yining,56,CN,1537584617,66,29.04,114.56,80.68,2.71
447,Pathein,92,MM,1537584618,100,16.78,94.73,80.14,4.27
448,Tete,0,MZ,1537584618,55,-16.16,33.59,72.04,9.42
449,Mount Gambier,80,AU,1537584366,92,-37.83,140.78,58.54,4.94
450,Bilma,0,NE,1537584618,35,18.69,12.92,72.13,2.93
451,Marsh Harbour,24,BS,1537584619,100,26.54,-77.06,83.83,9.53
452,Whitehorse,20,CA,1537581600,30,60.72,-135.06,53.6,11.41
453,Mundo Nuevo,90,CL,1537581600,93,-32.72,-71.41,51.8,5.82
454,Charleston,20,US,1537581240,93,38.35,-81.63,73.04,3.38
455,Richards Bay,92,ZA,1537584620,95,-28.77,32.06,58.36,2.59
456,Codrington,0,AU,1537584414,68,-28.95,153.24,69.7,3.6
457,Colac,88,AU,1537584620,73,-38.34,143.59,58.72,5.39
458,Port Blair,0,IN,1537584621,99,11.67,92.75,82.48,2.59
459,Whitianga,36,NZ,1537584621,100,-36.83,175.7,58.54,19.15
460,Yelizovo,0,RU,1537581600,42,53.19,158.38,62.6,13.42
461,Krasnoslobodsk,0,RU,1537584622,81,54.42,43.79,50.53,6.17
462,Wajima,40,JP,1537581600,78,37.4,136.9,73.4,9.17
463,Scottsbluff,1,US,1537581180,46,41.87,-103.67,64.04,13.87
464,Buraydah,0,SA,1537581600,30,26.33,43.97,82.4,2.24
465,Avera,40,US,1537583700,73,33.19,-82.53,80.06,5.82
466,Madinat Sittah Uktubar,40,EG,1537583400,78,29.82,31.05,75.2,5.82
467,Santa Cruz,1,US,1537583700,82,36.97,-122.03,73.4,12.75
468,Bartica,0,GY,1537581600,94,6.41,-58.62,77.0,4.7
469,Diffa,20,NE,1537584625,69,13.32,12.61,75.37,2.37
470,Sobolevo,0,RU,1537584626,78,54.43,31.9,59.98,14.23
471,Yenagoa,92,NG,1537584626,97,4.92,6.26,73.3,4.38
472,Hamilton,20,CA,1537581600,59,43.26,-79.87,69.8,24.16
473,Port Hedland,24,AU,1537583400,18,-20.31,118.58,89.6,16.11
474,Keffi,32,NG,1537584627,97,8.85,7.88,68.35,3.27
475,Chikola,0,RU,1537581600,67,43.2,43.92,57.2,4.47
476,Coihaique,90,CL,1537582260,93,-45.58,-72.07,42.8,2.24
477,La Asuncion,24,EC,1537584628,98,-1.64,-78.74,40.18,0.36
478,Cockburn Town,0,TC,1537584362,97,21.46,-71.14,83.65,15.68
479,Sao Joaquim,64,BR,1537584628,93,-28.29,-49.93,55.39,2.37
480,Ojinaga,8,US,1537584628,67,29.56,-104.41,73.3,7.4
481,Wlingi,0,ID,1537584629,55,-8.09,112.32,87.07,1.36
482,Sangar,80,RU,1537584629,69,63.92,127.47,42.52,3.38
483,Crestview,20,US,1537584120,100,30.76,-86.57,80.06,3.36
484,Praia da Vitoria,40,PT,1537581600,83,38.73,-27.07,75.2,20.6
485,Masuguru,0,MZ,1537584630,98,-11.38,38.46,66.1,3.49
486,Tautira,90,PF,1537583400,78,-17.73,-149.15,77.0,5.82
487,Visnes,92,NO,1537582800,66,59.36,5.22,51.8,31.09
488,Ambalavao,0,MG,1537584631,76,-21.83,46.94,35.41,2.15
489,Sumter,1,US,1537582500,88,33.92,-80.34,78.98,6.96
490,Mecca,8,SA,1537584488,74,21.43,39.83,68.08,2.15
491,Synya,92,RU,1537584632,99,65.37,58.04,44.77,4.83
492,Deputatskiy,0,RU,1537584632,68,69.3,139.9,33.07,4.05
493,Guangyuan,68,CN,1537584633,72,32.43,105.86,69.61,2.15
494,Paamiut,76,GL,1537584633,100,61.99,-49.67,37.84,22.28
495,Serdobsk,0,RU,1537584633,83,52.46,44.21,46.75,2.59
496,Komsomolskiy,88,RU,1537584634,96,67.55,63.78,46.39,10.2
497,Sivas,0,TR,1537581000,87,39.75,37.01,48.2,1.92
498,Egvekinot,80,RU,1537584529,92,66.32,-179.17,44.68,3.38
499,Berezniki,88,RU,1537584635,98,59.41,56.8,46.66,3.27
500,Mogadishu,76,SO,1537584635,99,2.04,45.34,78.34,13.33
501,Petropavlovsk-Kamchatskiy,0,RU,1537581600,42,53.05,158.65,62.6,13.42
502,Tazovskiy,24,RU,1537584636,75,67.47,78.7,44.41,12.77
503,Cuiluan,88,CN,1537584636,81,47.72,128.65,56.65,3.94
504,Iguape,12,BR,1537584636,100,-24.7,-47.56,65.74,5.95
505,Along,24,IN,1537584637,77,28.17,94.8,74.92,2.04
506,Grants,1,US,1537582500,50,35.15,-107.85,62.78,9.17
507,Porto San Giorgio,0,IT,1537584637,86,43.18,13.79,67.36,3.71
508,Faya,0,SA,1537581600,24,18.39,42.45,66.2,4.7
509,Bernalda,0,IT,1537584638,100,40.41,16.69,72.22,1.14
510,Skelleftea,88,SE,1537582800,87,64.75,20.95,55.4,8.05
511,Ponta Delgada,20,PT,1537583400,88,37.73,-25.67,73.4,9.17
512,Longhua,100,CN,1537581600,94,29.21,106.21,69.8,6.71
513,Sao Felix do Xingu,0,BR,1537584639,88,-6.64,-51.99,75.91,2.26
514,Athabasca,12,CA,1537584639,59,54.72,-113.29,31.54,5.73
515,Morehead,75,US,1537581180,73,38.18,-83.43,75.02,4.61
516,Sioux Lookout,20,CA,1537581600,84,50.1,-91.92,41.0,5.39
517,Virginia Beach,20,US,1537582500,81,36.85,-75.98,73.94,4.7
518,Saint Anthony,1,US,1537581360,5,43.97,-111.68,64.94,5.82
519,Gidam,88,IN,1537584641,97,18.98,81.4,71.77,10.2
520,Blagoyevo,0,RU,1537584641,95,63.37,47.92,42.16,5.06
521,Rocha,12,UY,1537584641,89,-34.48,-54.34,56.92,1.7
522,Vanimo,0,PG,1537584642,100,-2.67,141.3,83.2,10.31
523,Kalemie,24,CD,1537584642,85,-5.95,29.2,79.78,12.66
524,Omsukchan,56,RU,1537584642,89,62.53,155.8,38.92,4.05
525,La Rioja,0,AR,1537584499,66,-29.41,-66.86,62.05,3.15
526,Ilo,0,PE,1537584643,100,-17.65,-71.34,50.17,1.59
527,Fujin,92,CN,1537584643,98,47.24,132.03,55.12,13.11
528,Les Cayes,12,HT,1537584643,98,18.19,-73.75,82.75,12.66
529,Solvychegodsk,8,RU,1537584644,96,61.33,46.92,52.6,7.4
530,Vestmannaeyjar,48,IS,1537584644,100,63.44,-20.27,41.62,14.34
531,Quijingue,0,BR,1537584533,78,-10.75,-39.21,69.97,8.97
532,Qasigiannguit,12,GL,1537581000,49,68.82,-51.19,26.6,14.99
533,Emerald,0,AU,1537584645,27,-23.53,148.16,79.69,11.77
534,Lagoa,0,PT,1537583400,44,37.14,-8.45,78.8,2.24
535,Ilesha,68,NG,1537584645,98,7.14,5.26,72.31,2.93
